,ZipCode,City,State,Latitude,Longitude,Metro,CountyName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,Latitude,Longitude
20,55407,Minneapolis,MN,44.9772995,-93.2654692,Minneapolis-St. Paul-Bloomington,Hennepin County,1999,168000.0,168700.0,171000.0,173300.0,174900.0,176600.0,177800.0,178100.0,178200.0,178100.0,178100.0,178300.0,178700.0,179400.0,180900.0,182800.0,183900.0,184300.0,185300,187200,189300,190900,192700,195300,198200,200900,203000,204800,206400,207900,209100,210100,211300,213100,215400,217800,219900,221700,223500,225700,228000,230100,231000,230900,230800,231600,232500,233400,235300,237700,239800,242100,244000,245000,245700,247400,249200,250200,250800,251700,253200,254700,44.9772995,-93.2654692
21,55082,Stillwater,MN,45.0564041,-92.8134982,Minneapolis-St. Paul-Bloomington,Washington County,2120,273000.0,273400.0,273500.0,273500.0,273700.0,275500.0,277900.0,279400.0,279800.0,279700.0,279300.0,279400.0,279800.0,279700.0,279300.0,280100.0,282000.0,285100.0,288100,290100,292500,295600,297700,299900,303000,306700,310300,312400,312800,312600,312900,313300,314200,315400,316500,317400,318700,321000,323200,324700,325300,325400,325000,324600,324200,324600,326600,328800,332700,338900,344500,347400,349900,351500,351100,350200,350800,352600,354100,355900,358800,360900,45.0564041,-92.8134982
22,55414,Minneapolis,MN,44.9772995,-93.2654692,Minneapolis-St. Paul-Bloomington,Hennepin County,2290,208700.0,210100.0,212400.0,214200.0,214600.0,214000.0,213500.0,213500.0,213200.0,212900.0,213400.0,214100.0,214600.0,215200.0,216400.0,219000.0,221500.0,223300.0,225000,226700,227600,228300,229500,230400,230900,232700,235200,236900,238100,239300,240800,242500,244200,245600,246000,247200,249200,250500,251200,252900,254700,256700,258700,259600,261000,264500,267900,269500,271500,274900,278200,281200,284000,286200,287800,288700,289900,291300,293100,294900,296900,298200,44.9772995,-93.2654692
23,55418,Minneapolis,MN,44.9772995,-93.2654692,Minneapolis-St. Paul-Bloomington,Hennepin County,2457,182400.0,183200.0,185400.0,187700.0,188700.0,189000.0,189000.0,188500.0,187800.0,187600.0,188000.0,188400.0,188900.0,189800.0,191700.0,193800.0,195300.0,195800.0,196600,197900,199500,201400,203800,206200,208400,210900,213400,215300,216200,217400,218800,220000,221600,223100,223900,224800,226100,227400,228500,230300,233000,235700,237500,238700,240400,242700,244600,246200,248500,250800,252200,253400,254200,254200,254100,254500,255400,256300,257100,257900,258800,259400,44.9772995,-93.2654692
24,55433,Coon Rapids,MN,45.1199652,-93.2877277,Minneapolis-St. Paul-Bloomington,Anoka County,2489,154300.0,154500.0,155100.0,156600.0,158100.0,158700.0,158600.0,159000.0,159500.0,159800.0,159700.0,159600.0,160100.0,161200.0,162400.0,164000.0,166700.0,169100.0,170600,171700,172800,173700,174700,175700,176600,178100,179900,181200,181700,182700,184000,184900,185600,186300,187200,188300,189000,189200,190100,191700,193100,193300,193800,195700,197900,199300,200800,202200,204600,208000,211000,213300,215300,216300,216900,218500,221200,223600,225400,227000,228500,229500,45.1199652,-93.2877277
25,55122,Eagan,MN,44.818173,-93.1659179,Minneapolis-St. Paul-Bloomington,Dakota County,2506,209000.0,209600.0,209600.0,210100.0,211300.0,212400.0,213300.0,214200.0,214900.0,215400.0,215600.0,215500.0,216400.0,218300.0,220400.0,221600.0,222000.0,221900.0,221500,221400,221500,221200,220500,221300,223100,224700,225900,227100,228200,230100,231700,232700,234000,236400,238400,239200,239800,241400,243900,246400,248300,249900,251000,251400,251900,252300,253200,254600,256100,257300,259000,261000,263000,264100,264700,265600,266500,267700,269300,271600,273100,273700,44.818173,-93.1659179
26,55109,Maplewood,MN,44.9533351,-92.9953373,Minneapolis-St. Paul-Bloomington,Ramsey County,2549,169200.0,170400.0,172400.0,174700.0,176900.0,178800.0,179800.0,180200.0,180300.0,180100.0,179500.0,178800.0,178700.0,179200.0,180100.0,180800.0,181300.0,182000.0,183400,184700,185300,185200,185000,184700,184400,184900,185900,186600,187400,188200,189900,192600,195200,197200,198700,200900,203900,206400,207700,209100,210700,212300,213200,214200,215800,217000,217100,217300,218700,220700,222300,223600,224900,225700,226500,226900,227200,228400,230500,231900,232900,233600,44.9533351,-92.9953373
27,55311,Maple Grove,MN,45.0759797,-93.4561052,Minneapolis-St. Paul-Bloomington,Hennepin County,2716,306800.0,307500.0,310200.0,314300.0,317700.0,319700.0,320800.0,321500.0,320900.0,319500.0,318700.0,318500.0,318800.0,319600.0,322000.0,325100.0,326600.0,327000.0,327800,328800,329900,331100,331600,331900,332100,333200,335300,336600,336000,335100,334200,333900,334400,335100,335500,336700,337800,338800,340300,342700,345300,347100,348200,349500,350500,351200,352300,353500,355400,357500,359600,361800,363400,363800,364200,364200,364000,364300,365200,366200,367400,368200,45.0759797,-93.4561052
28,54016,Hudson,WI,44.9746896,-92.7568703,Minneapolis-St. Paul-Bloomington,Saint Croix County,2733,251300.0,252900.0,253900.0,253600.0,252000.0,250000.0,248800.0,248200.0,248100.0,247900.0,247700.0,248300.0,250200.0,252900.0,254900.0,255900.0,257000.0,258800.0,260400,261100,260800,261100,261900,262500,263000,264300,266200,268900,271300,272900,274800,277400,279300,280800,282700,286100,290600,294100,296000,297300,299100,300500,300500,299300,298900,298800,299300,300600,303500,307500,312000,315300,317700,319900,322700,325400,328200,330100,331900,333500,333700,332700,44.9746896,-92.7568703
29,55432,Fridley,MN,45.0838291,-93.2590388,Minneapolis-St. Paul-Bloomington,Anoka County,2824,159600.0,160300.0,160800.0,161300.0,161900.0,162400.0,162400.0,162300.0,162300.0,162300.0,162100.0,162100.0,162300.0,163000.0,164000.0,165800.0,167600.0,169300.0,170600,171100,171300,171400,171900,172600,173500,174800,176500,178300,180000,181500,182500,183500,184600,185800,187300,189000,189500,189500,190700,192700,194200,194900,196100,198200,200300,201200,202300,203900,206100,208500,210500,212300,214500,216200,217200,218600,220600,222100,223300,224800,226400,227300,45.0838291,-93.2590388
